model_key,model,group,threshold_protocol,threshold,val_afl_f1_at_threshold,n,n_af,n_afl,acc,afl_precision,afl_recall,afl_f1,macro_f1,auroc,auprc,tn,fp,fn,tp,cm,acc_ci95,acc_lo95,acc_hi95,afl_precision_ci95,afl_precision_lo95,afl_precision_hi95,afl_recall_ci95,afl_recall_lo95,afl_recall_hi95,afl_f1_ci95,afl_f1_lo95,afl_f1_hi95,macro_f1_ci95,macro_f1_lo95,macro_f1_hi95,auroc_ci95,auroc_lo95,auroc_hi95,auprc_ci95,auprc_lo95,auprc_hi95
ours_full,Ours,main,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.5303800106048584,0.797433547203906,6735,5217,1518,0.91818856718634,0.9717073170731698,0.6561264822134384,0.7833267793939341,0.8664506140039712,0.8612561346141365,0.833154207136342,5188,29,522,996,"[[5188, 29], [522, 996]]","0.918 [0.912, 0.924]",0.9119524870081663,0.9244283593170007,"0.972 [0.962, 0.982]",0.9616876099129517,0.9817311105476665,"0.656 [0.632, 0.679]",0.6319387560069896,0.6786321106181801,"0.783 [0.765, 0.800]",0.7649529348350201,0.8004813167046683,"0.866 [0.856, 0.876]",0.8557456111599004,0.8764599674504938,"0.861 [0.849, 0.874]",0.8487075330511117,0.874271291864346,"0.833 [0.818, 0.849]",0.8176582708391165,0.848611184787564
ours_neural_only_no_gate,Ours neural-only (post-hoc No Gate),posthoc_sensitivity,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.7028599977493286,0.7924187725626812,6735,5217,1518,0.9138827023014106,0.969939879759518,0.6376811594202895,0.7694753577101726,0.8582633315849224,0.8575989158782868,0.8246764283642096,5187,30,550,968,"[[5187, 30], [550, 968]]","0.914 [0.907, 0.920]",0.9073459539717891,0.919974016332591,"0.970 [0.958, 0.979]",0.9582161185957526,0.9790841076654708,"0.638 [0.615, 0.661]",0.6145863837608341,0.661282027721625,"0.769 [0.752, 0.787]",0.7515099083817093,0.7874032096492728,"0.858 [0.847, 0.869]",0.8473329656487614,0.8685972415780908,"0.858 [0.845, 0.872]",0.8449232013816985,0.8720431213693962,"0.825 [0.809, 0.842]",0.8090816209166021,0.8419694710370834
ours_no_quality_input,Ours quality-masked (post-hoc No Quality),posthoc_sensitivity,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.5705599784851074,0.7429078014179422,6735,5217,1518,0.9242761692650334,0.9649446494464936,0.6890645586297756,0.8039969254414809,0.8785350839944472,0.84749512779115,0.8244843009552681,5179,38,472,1046,"[[5179, 38], [472, 1046]]","0.924 [0.918, 0.931]",0.9178916109873794,0.9309576837416481,"0.965 [0.954, 0.975]",0.9540762810608163,0.975278822055137,"0.689 [0.666, 0.713]",0.6657925736414353,0.713460573958006,"0.804 [0.787, 0.821]",0.7874329793250093,0.8213304784199295,"0.879 [0.869, 0.889]",0.8687465818371916,0.8888415060802707,"0.847 [0.832, 0.863]",0.8324445361434573,0.863177187216831,"0.824 [0.808, 0.842]",0.8079998006005416,0.8421346638114153
ours_fixed_fusion_alpha030,Ours fixed fusion alpha=0.30 (post-hoc),posthoc_sensitivity,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.5548800230026245,0.8087831655987742,6735,5217,1518,0.9230883444691907,0.9708097928436903,0.6791831357048744,0.7992248062010653,0.8758291156811241,0.8615644910742044,0.834672461950728,5186,31,487,1031,"[[5186, 31], [487, 1031]]","0.923 [0.917, 0.930]",0.9171492204899777,0.9297698589458054,"0.971 [0.961, 0.981]",0.9607051197174371,0.9808815779665739,"0.679 [0.657, 0.703]",0.6566592664092661,0.7027932587119887,"0.799 [0.783, 0.816]",0.7829810142130895,0.8164401097007801,"0.876 [0.866, 0.886]",0.8661014039201747,0.8861194303648084,"0.862 [0.847, 0.876]",0.8474055338751398,0.8756925113620041,"0.835 [0.819, 0.851]",0.8186931928169875,0.8513388629791386
fuzzy_logits_only,Fuzzy logits only,rule_only,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.2549999952316284,0.3570741097204688,6735,5217,1518,0.875426874536006,0.8017777777777771,0.5942028985507243,0.6825576995833168,0.8025331215199903,0.828511443913849,0.6781132403753297,4994,223,616,902,"[[4994, 223], [616, 902]]","0.875 [0.868, 0.883]",0.867706013363029,0.882702301410542,"0.802 [0.778, 0.826]",0.7780702733739507,0.825704225352112,"0.594 [0.570, 0.619]",0.5696422956812753,0.618545593661445,"0.683 [0.661, 0.703]",0.6613928318632092,0.7028292189994229,"0.803 [0.791, 0.814]",0.7905596845882623,0.8143393599219351,"0.829 [0.816, 0.841]",0.8157521220607413,0.8411019464103199,"0.678 [0.651, 0.706]",0.6510724772006591,0.7057124940782233
arnet2,ArNet2,baseline,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.009999999776482582,0.1432738303580515,6734,5216,1518,0.22542322542322543,0.2254232254232254,0.9999999999999994,0.36791080950042676,0.18395540475036354,0.5157262896368324,0.21552435597576192,0,5216,0,1518,"[[0, 5216], [0, 1518]]","0.225 [0.216, 0.235]",0.21606771606771608,0.23523166023166023,"0.225 [0.216, 0.235]",0.21606771606771605,0.2352316602316602,"1.000 [1.000, 1.000]",0.9999999999999993,0.9999999999999994,"0.368 [0.355, 0.381]",0.35535474416871493,0.38087051424590457,"0.184 [0.178, 0.190]",0.17767737208435747,0.19043525712295228,"0.516 [0.500, 0.531]",0.49960096906280926,0.5305006463351999,"0.216 [0.205, 0.227]",0.20466435578392034,0.2272754589984717
rawecgnet,RawECGNet,baseline,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.9900000095367432,0.8960739030018096,6734,5216,1518,0.5807840807840808,0.346938775510204,0.9743083003952563,0.5116761805912057,0.5722163913235057,0.8763439189844564,0.5501330108351714,2432,2784,39,1479,"[[2432, 2784], [39, 1479]]","0.581 [0.570, 0.592]",0.569936144936145,0.5919215919215919,"0.347 [0.332, 0.361]",0.33231848333350705,0.36148789691927546,"0.974 [0.966, 0.982]",0.9658942614377392,0.9821431522047015,"0.512 [0.495, 0.527]",0.49534433729517535,0.5271300062442248,"0.572 [0.561, 0.584]",0.5608025630032267,0.5837212898650782,"0.876 [0.867, 0.884]",0.8666182754219728,0.8842787744336957,"0.550 [0.526, 0.574]",0.525587640572822,0.5737490846822775
wang2021,Wang2021 BiLSTM,baseline,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.9753000140190125,0.9052631578942353,6734,5216,1518,0.5920700920700921,0.3549681378333726,0.990777338603425,0.522675933970072,0.5832619913596631,0.9096390982039655,0.7345622490102522,2483,2733,14,1504,"[[2483, 2733], [14, 1504]]","0.592 [0.581, 0.603]",0.5810773685773686,0.6032113157113157,"0.355 [0.341, 0.369]",0.3408071996255199,0.3691677480254273,"0.991 [0.986, 0.995]",0.9855160708423291,0.9953410027042613,"0.523 [0.507, 0.538]",0.507276286114161,0.5379244541696564,"0.583 [0.572, 0.594]",0.5722995896532329,0.5942590992693904,"0.910 [0.902, 0.917]",0.9023789019902617,0.9165075102150843,"0.735 [0.714, 0.757]",0.7144042859783335,0.7568567483575854
kraft2025,Kraft2025 ConvNeXt1D,baseline,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.9900000095367432,0.8738317757004341,6734,5216,1518,0.49346599346599346,0.30750457596095176,0.9960474308300389,0.46993006992970926,0.49246539043211873,0.8898755577244841,0.6319978711149267,1811,3405,6,1512,"[[1811, 3405], [6, 1512]]","0.493 [0.480, 0.505]",0.4800972675972676,0.5050490050490051,"0.308 [0.294, 0.321]",0.2943898460296765,0.32109377941703965,"0.996 [0.993, 0.999]",0.992551584614888,0.9987148785277316,"0.470 [0.455, 0.486]",0.45468517169456546,0.48580147516020483,"0.492 [0.479, 0.504]",0.4791955555921412,0.5040181398253636,"0.890 [0.882, 0.898]",0.8817800436933875,0.8979020903482869,"0.632 [0.609, 0.654]",0.6086345043131581,0.6537460584687368
fleury2024,Fleury2024 modular,baseline,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.9272800087928772,0.9272281275546905,6734,5216,1518,0.47995247995247997,0.2996768982229402,0.9776021080368901,0.45873261205528215,0.4791519590715475,0.7195582332056225,0.42978370858380593,1748,3468,34,1484,"[[1748, 3468], [34, 1484]]","0.480 [0.468, 0.492]",0.4682098307098307,0.49153920403920404,"0.300 [0.286, 0.312]",0.28620693809851655,0.31157583976444797,"0.978 [0.970, 0.985]",0.9699537873063436,0.984758370307953,"0.459 [0.442, 0.473]",0.44246028246949554,0.4727666821007524,"0.479 [0.467, 0.491]",0.4672391848890079,0.49078892420897285,"0.720 [0.705, 0.734]",0.7045655642917288,0.7339543087520917,"0.430 [0.405, 0.455]",0.4053107324258924,0.4548352061992201
